,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
182,0<=X<200,16,critical/other existing credit,retraining,1816.0,<100,unemployed,1,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,bad
183,no checking,9,no credits/all paid,furniture/equipment,1092.0,<100,<1,1,female div/dep/mar,none,2,car,20,none,rent,4,skilled,2,none,no,bad
184,no checking,19,critical/other existing credit,radio/tv,7805.0,<100,>=7,1,female div/dep/mar,none,2,car,20,none,rent,2,skilled,2,none,no,bad
185,>=200,16,critical/other existing credit,furniture/equipment,1083.0,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,39,none,for free,3,skilled,2,none,no,bad
186,<0,9,critical/other existing credit,domestic appliance,914.0,<100,1<=X<4,4,female div/dep/mar,none,3,car,48,none,rent,2,skilled,2,none,no,good
187,no checking,15,delayed previously,new car,1876.0,<100,>=7,2,female div/dep/mar,none,4,car,22,none,rent,2,skilled,2,none,no,good
188,<0,15,critical/other existing credit,education,2452.0,<100,>=7,4,female div/dep/mar,none,2,car,20,none,rent,2,skilled,2,none,no,good
189,no checking,24,critical/other existing credit,repairs,780.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,20,none,rent,2,skilled,2,none,no,bad
190,no checking,8,all paid,education,776.0,100<=X<500,>=7,3,female div/dep/mar,none,3,real estate,33,none,rent,2,skilled,2,none,no,good
191,<0,7,critical/other existing credit,furniture/equipment,421.0,<100,<1,1,female div/dep/mar,none,2,car,20,none,rent,3,skilled,2,none,no,good
192,<0,8,critical/other existing credit,furniture/equipment,1302.0,no known savings,1<=X<4,4,female div/dep/mar,none,2,no known property,40,none,for free,2,skilled,2,none,no,bad
193,no checking,7,critical/other existing credit,radio/tv,734.0,<100,>=7,4,female div/dep/mar,none,4,no known property,33,none,for free,2,skilled,2,none,yes,good
194,<0,15,critical/other existing credit,furniture/equipment,7063.0,<100,1<=X<4,1,female div/dep/mar,none,1,no known property,30,none,rent,2,skilled,2,none,no,bad
195,<0,17,critical/other existing credit,furniture/equipment,2118.0,<100,1<=X<4,3,female div/dep/mar,none,3,life insurance,31,none,rent,2,skilled,2,none,no,good
196,no checking,12,critical/other existing credit,used car,1077.0,<100,<1,3,female div/dep/mar,none,4,car,24,none,rent,2,skilled,2,none,no,good
197,no checking,10,no credits/all paid,domestic appliance,433.0,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,26,none,rent,2,skilled,2,none,no,bad
198,no checking,7,no credits/all paid,radio/tv,1060.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,20,none,rent,3,skilled,2,none,yes,bad
199,no checking,14,no credits/all paid,radio/tv,502.0,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,25,none,rent,2,skilled,2,none,no,good
200,no checking,17,critical/other existing credit,radio/tv,1229.0,<100,>=7,3,female div/dep/mar,none,2,no known property,47,none,rent,2,skilled,2,none,no,bad
201,>=200,11,delayed previously,education,1121.0,100<=X<500,<1,4,female div/dep/mar,none,4,life insurance,22,none,rent,2,skilled,2,none,no,bad
202,<0,16,critical/other existing credit,furniture/equipment,2496.0,<100,1<=X<4,1,female div/dep/mar,none,1,life insurance,20,none,rent,2,skilled,2,none,no,good
203,no checking,28,critical/other existing credit,new car,2026.0,<100,4<=X<7,2,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,bad
204,no checking,14,no credits/all paid,furniture/equipment,2986.0,<100,>=7,2,female div/dep/mar,none,4,car,24,none,rent,3,skilled,2,none,no,bad
205,no checking,26,delayed previously,repairs,4757.0,<100,<1,2,female div/dep/mar,none,4,no known property,33,none,rent,2,skilled,2,none,no,bad
206,<0,12,delayed previously,repairs,3350.0,no known savings,>=7,3,female div/dep/mar,none,3,real estate,28,none,rent,2,skilled,2,none,no,bad
207,<0,26,no credits/all paid,new car,6832.0,<100,<1,3,female div/dep/mar,none,3,no known property,28,none,rent,2,skilled,2,none,no,bad
208,<0,6,critical/other existing credit,used car,583.0,<100,1<=X<4,2,female div/dep/mar,none,2,no known property,27,none,rent,2,high qualif/self emp/mgmt,2,none,no,bad
209,>=200,30,critical/other existing credit,education,3708.0,<100,<1,3,female div/dep/mar,none,4,no known property,21,none,rent,2,skilled,2,none,no,bad
210,no checking,8,no credits/all paid,new car,1203.0,<100,unemployed,1,female div/dep/mar,none,3,car,32,none,rent,2,skilled,2,none,no,bad
211,<0,6,critical/other existing credit,furniture/equipment,894.0,<100,<1,3,female div/dep/mar,none,1,life insurance,38,none,rent,2,skilled,2,none,no,bad
212,no checking,28,critical/other existing credit,new car,4062.0,<100,<1,4,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,good
213,<0,7,no credits/all paid,new car,1707.0,<100,<1,4,female div/dep/mar,none,1,car,30,none,rent,2,skilled,2,none,no,good
214,<0,15,no credits/all paid,new car,471.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,34,none,rent,3,skilled,2,none,no,bad
215,no checking,7,critical/other existing credit,radio/tv,419.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,32,none,rent,2,skilled,2,none,no,good
216,>=200,11,no credits/all paid,repairs,2160.0,<100,4<=X<7,1,female div/dep/mar,none,3,no known property,22,none,rent,3,skilled,2,none,no,good
217,<0,19,no credits/all paid,repairs,2237.0,<100,>=7,3,female div/dep/mar,none,2,car,25,none,rent,2,skilled,2,none,no,bad
218,>=200,36,no credits/all paid,repairs,5787.0,100<=X<500,>=7,3,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,bad
219,no checking,37,no credits/all paid,radio/tv,2095.0,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,53,none,rent,3,skilled,2,none,no,good
220,no checking,9,critical/other existing credit,new car,794.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,20,none,rent,2,skilled,2,none,no,bad
221,<0,33,critical/other existing credit,domestic appliance,5557.0,<100,1<=X<4,3,female div/dep/mar,none,4,real estate,26,none,rent,2,skilled,2,none,no,bad
222,no checking,15,delayed previously,business,2133.0,<100,1<=X<4,3,female div/dep/mar,none,3,real estate,21,none,rent,2,skilled,2,none,no,bad
223,0<=X<200,11,critical/other existing credit,repairs,2804.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,20,none,rent,2,skilled,2,none,no,bad
224,>=200,46,critical/other existing credit,furniture/equipment,4460.0,<100,>=7,4,female div/dep/mar,none,2,no known property,52,none,for free,2,skilled,2,none,no,good
225,<0,9,critical/other existing credit,radio/tv,1235.0,<100,1<=X<4,4,female div/dep/mar,none,3,no known property,26,none,rent,3,skilled,2,none,no,bad
226,0<=X<200,42,delayed previously,furniture/equipment,7156.0,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,31,none,rent,2,skilled,2,none,no,bad
227,0<=X<200,36,delayed previously,repairs,1121.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,20,none,rent,3,skilled,2,none,no,bad
228,<0,40,no credits/all paid,radio/tv,1688.0,<100,<1,4,female div/dep/mar,none,3,life insurance,28,none,rent,3,skilled,2,none,no,bad
229,no checking,18,no credits/all paid,new car,1675.0,<100,>=7,3,female div/dep/mar,none,2,car,40,none,rent,3,skilled,2,none,no,bad
230,<0,15,no credits/all paid,furniture/equipment,3981.0,<100,>=7,4,female div/dep/mar,none,1,life insurance,30,none,rent,2,skilled,2,none,no,bad
231,no checking,9,critical/other existing credit,retraining,877.0,<100,1<=X<4,3,female div/dep/mar,none,2,life insurance,48,none,rent,2,skilled,2,none,no,bad
232,>=200,42,critical/other existing credit,radio/tv,931.0,<100,<1,4,female div/dep/mar,none,3,car,31,none,rent,3,skilled,2,none,no,good
233,>=200,35,no credits/all paid,domestic appliance,4273.0,>=1000,<1,2,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,good
234,no checking,17,delayed previously,new car,2039.0,<100,unemployed,2,female div/dep/mar,none,4,no known property,27,none,rent,2,skilled,2,none,no,bad
235,no checking,32,no credits/all paid,furniture/equipment,2219.0,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,20,none,rent,2,skilled,2,none,no,bad
236,no checking,57,critical/other existing credit,used car,1922.0,>=1000,1<=X<4,4,female div/dep/mar,none,4,no known property,34,none,rent,2,skilled,2,none,yes,good
237,<0,7,critical/other existing credit,retraining,2427.0,<100,1<=X<4,1,female div/dep/mar,none,1,life insurance,21,none,rent,2,skilled,2,none,no,good
238,>=200,28,critical/other existing credit,new car,3731.0,<100,<1,3,female div/dep/mar,none,4,life insurance,37,none,rent,2,skilled,2,none,no,good
239,<0,12,no credits/all paid,new car,1244.0,no known savings,1<=X<4,1,female div/dep/mar,none,4,car,35,none,for free,3,skilled,2,none,no,bad
240,<0,26,no credits/all paid,new car,9398.0,<100,4<=X<7,1,female div/dep/mar,none,1,life insurance,20,none,rent,2,skilled,2,none,no,bad
241,<0,8,critical/other existing credit,new car,1452.0,<100,<1,3,female div/dep/mar,none,2,real estate,30,none,rent,3,skilled,2,none,no,bad
242,<0,6,critical/other existing credit,new car,612.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,life insurance,53,none,rent,2,skilled,2,none,no,bad
243,no checking,18,critical/other existing credit,furniture/equipment,1357.0,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,25,none,rent,2,skilled,2,none,no,good
244,no checking,6,all paid,education,288.0,no known savings,1<=X<4,2,female div/dep/mar,none,1,car,20,none,rent,2,skilled,2,none,no,good
245,no checking,17,delayed previously,furniture/equipment,2032.0,no known savings,unemployed,4,female div/dep/mar,none,4,car,32,none,rent,2,skilled,2,none,no,good
246,no checking,42,critical/other existing credit,new car,5832.0,<100,unemployed,4,female div/dep/mar,none,2,life insurance,66,none,rent,2,skilled,2,none,no,bad
247,<0,12,no credits/all paid,furniture/equipment,1522.0,no known savings,unemployed,2,female div/dep/mar,none,2,car,21,none,rent,3,unskilled resident,2,none,no,bad
248,<0,6,delayed previously,retraining,1674.0,<100,>=7,1,female div/dep/mar,none,4,no known property,48,none,rent,2,skilled,2,none,no,good
249,<0,10,delayed previously,new car,5877.0,<100,4<=X<7,1,female div/dep/mar,none,4,no known property,59,none,for free,3,skilled,2,none,no,bad
250,<0,14,no credits/all paid,radio/tv,2467.0,<100,1<=X<4,2,female div/dep/mar,none,1,life insurance,21,none,rent,3,skilled,2,none,no,good
251,<0,14,delayed previously,radio/tv,1012.0,>=1000,>=7,4,female div/dep/mar,none,1,car,46,none,rent,3,skilled,2,none,no,good
252,<0,11,no credits/all paid,domestic appliance,4334.0,<100,<1,3,female div/dep/mar,none,4,no known property,44,none,for free,2,skilled,2,none,no,bad
253,>=200,27,critical/other existing credit,repairs,618.0,<100,1<=X<4,3,female div/dep/mar,none,1,life insurance,38,none,rent,2,skilled,2,none,no,good
254,no checking,16,no credits/all paid,radio/tv,1461.0,<100,<1,4,female div/dep/mar,none,1,car,20,none,rent,3,skilled,2,none,no,good
255,no checking,19,no credits/all paid,domestic appliance,1909.0,<100,4<=X<7,1,female div/dep/mar,none,1,car,30,none,rent,2,skilled,2,none,no,good
256,no checking,48,critical/other existing credit,new car,8074.0,<100,<1,2,female div/dep/mar,none,4,no known property,52,none,for free,3,skilled,2,none,no,good
257,0<=X<200,12,critical/other existing credit,new car,1305.0,<100,1<=X<4,1,female div/dep/mar,none,1,car,41,none,rent,2,skilled,2,none,no,bad
258,no checking,39,no credits/all paid,education,2255.0,<100,1<=X<4,3,female div/dep/mar,none,1,car,53,none,rent,4,skilled,2,none,no,bad
259,>=200,49,critical/other existing credit,radio/tv,2796.0,<100,1<=X<4,3,female div/dep/mar,none,2,car,21,none,rent,2,skilled,2,none,no,bad
260,<0,8,critical/other existing credit,education,1443.0,<100,<1,1,female div/dep/mar,none,3,car,27,none,rent,2,skilled,2,none,no,good
261,>=200,6,no credits/all paid,used car,358.0,<100,>=7,3,female div/dep/mar,none,4,no known property,34,none,rent,3,skilled,2,none,yes,good
262,no checking,9,delayed previously,repairs,1525.0,<100,<1,3,female div/dep/mar,none,1,real estate,20,none,rent,2,skilled,2,none,no,good
263,<0,19,no credits/all paid,furniture/equipment,3693.0,100<=X<500,>=7,4,female div/dep/mar,none,4,no known property,41,none,for free,2,skilled,2,yes,no,bad
264,no checking,8,critical/other existing credit,furniture/equipment,780.0,<100,1<=X<4,4,female div/dep/mar,none,3,car,25,none,rent,2,skilled,2,none,no,bad
265,<0,21,all paid,repairs,1485.0,<100,unemployed,4,female div/dep/mar,none,4,car,44,none,rent,3,skilled,2,none,no,bad
266,>=200,18,critical/other existing credit,education,1812.0,<100,unemployed,2,female div/dep/mar,none,3,no known property,22,none,rent,2,skilled,2,none,no,good
267,<0,11,delayed previously,furniture/equipment,5444.0,>=1000,1<=X<4,1,female div/dep/mar,none,4,life insurance,27,none,rent,2,skilled,2,none,no,bad
268,>=200,40,critical/other existing credit,furniture/equipment,1594.0,<100,1<=X<4,1,female div/dep/mar,none,4,real estate,20,none,rent,2,high qualif/self emp/mgmt,2,none,no,bad
269,no checking,10,critical/other existing credit,radio/tv,531.0,<100,>=7,2,female div/dep/mar,none,2,no known property,56,none,rent,3,skilled,2,none,no,good
270,>=200,11,no credits/all paid,other,1316.0,<100,unemployed,3,female div/dep/mar,none,1,life insurance,47,none,rent,2,skilled,2,none,no,good
271,0<=X<200,20,critical/other existing credit,used car,6908.0,<100,unemployed,1,female div/dep/mar,none,1,car,50,none,rent,2,skilled,2,none,no,good
272,<0,25,critical/other existing credit,new car,3560.0,<100,1<=X<4,4,female div/dep/mar,none,4,car,20,none,rent,2,skilled,2,none,no,bad
273,no checking,34,critical/other existing credit,education,2757.0,no known savings,>=7,3,female div/dep/mar,none,3,life insurance,21,none,rent,2,skilled,2,none,no,bad
274,>=200,31,critical/other existing credit,domestic appliance,7064.0,<100,1<=X<4,1,female div/dep/mar,none,4,no known property,26,none,rent,2,skilled,2,none,no,bad
275,<0,10,critical/other existing credit,radio/tv,2936.0,<100,>=7,3,female div/dep/mar,none,1,life insurance,64,none,for free,4,unskilled resident,2,none,no,bad
276,<0,21,delayed previously,radio/tv,3571.0,<100,4<=X<7,4,female div/dep/mar,none,4,car,25,none,rent,3,high qualif/self emp/mgmt,2,none,no,bad
277,<0,21,no credits/all paid,furniture/equipment,4406.0,<100,1<=X<4,2,female div/dep/mar,none,3,car,34,none,rent,3,skilled,2,none,no,good
278,<0,19,critical/other existing credit,furniture/equipment,902.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,21,none,for free,2,skilled,2,none,no,bad
279,no checking,38,critical/other existing credit,radio/tv,2501.0,<100,1<=X<4,4,female div/dep/mar,none,4,car,23,none,rent,2,skilled,2,none,no,bad
280,<0,23,critical/other existing credit,radio/tv,2847.0,<100,<1,1,female div/dep/mar,none,4,car,23,none,rent,3,skilled,2,none,no,good
281,no checking,12,no credits/all paid,radio/tv,667.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,57,none,rent,3,skilled,2,none,no,good
282,no checking,31,delayed previously,new car,6419.0,<100,<1,1,female div/dep/mar,none,4,car,22,none,rent,2,skilled,2,none,no,good
283,no checking,8,no credits/all paid,new car,878.0,<100,>=7,3,female div/dep/mar,none,3,life insurance,42,none,rent,2,skilled,2,none,no,good
284,<0,16,critical/other existing credit,radio/tv,6688.0,no known savings,<1,2,female div/dep/mar,none,1,no known property,22,none,rent,2,skilled,2,none,no,good
285,no checking,7,no credits/all paid,radio/tv,1164.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,41,none,rent,3,skilled,2,none,no,good
286,>=200,28,critical/other existing credit,furniture/equipment,747.0,<100,<1,4,female div/dep/mar,none,2,no known property,28,none,rent,3,skilled,2,none,no,good
287,>=200,33,critical/other existing credit,radio/tv,2550.0,no known savings,<1,4,female div/dep/mar,none,1,car,36,none,rent,2,unskilled resident,2,none,no,good
288,no checking,9,delayed previously,used car,480.0,<100,>=7,2,female div/dep/mar,none,4,life insurance,33,none,rent,3,unskilled resident,2,none,no,good
289,no checking,25,no credits/all paid,education,8584.0,<100,unemployed,1,female div/dep/mar,none,3,no known property,26,none,rent,2,skilled,2,none,no,good
290,0<=X<200,21,critical/other existing credit,radio/tv,3072.0,no known savings,>=7,2,female div/dep/mar,none,4,real estate,26,none,rent,2,skilled,2,none,no,good
291,no checking,9,no credits/all paid,new car,1016.0,100<=X<500,1<=X<4,3,female div/dep/mar,none,2,car,35,none,rent,2,skilled,2,none,no,good
292,>=200,23,critical/other existing credit,education,4897.0,no known savings,1<=X<4,1,female div/dep/mar,none,4,car,21,none,rent,2,unemp/unskilled non res,2,none,no,good
293,<0,7,critical/other existing credit,radio/tv,1501.0,<100,>=7,4,female div/dep/mar,none,3,life insurance,44,none,for free,2,skilled,2,none,no,good
294,0<=X<200,24,no credits/all paid,furniture/equipment,724.0,<100,>=7,4,female div/dep/mar,none,2,car,34,none,rent,2,skilled,2,none,no,bad
295,<0,12,no credits/all paid,used car,1699.0,<100,<1,3,female div/dep/mar,none,3,real estate,27,none,rent,2,skilled,2,none,no,good
296,no checking,7,critical/other existing credit,repairs,3603.0,<100,>=7,2,female div/dep/mar,none,4,life insurance,26,none,for free,2,skilled,2,none,no,bad
297,0<=X<200,38,critical/other existing credit,new car,6121.0,<100,>=7,2,female div/dep/mar,none,1,life insurance,21,none,rent,2,skilled,2,none,no,good
298,no checking,16,critical/other existing credit,repairs,1857.0,<100,unemployed,4,female div/dep/mar,none,2,real estate,24,none,rent,2,skilled,2,none,no,good
299,no checking,18,no credits/all paid,domestic appliance,376.0,no known savings,4<=X<7,4,female div/dep/mar,none,2,real estate,28,none,rent,3,skilled,2,none,no,bad
